-7,74,1
3,44,1
0,19,1
6,73,1
3,87,1
9,90,1
9,62,1
5,63,1
7,60,1
-1,96,1
2,34,1
0,27,1
10,75,1
0,95,1
10,94,1
8,65,1
-4,37,1
-6,56,1
-2,87,1
-10,69,1
8,83,1
3,77,1
8,74,1
3,72,1
-2,37,1
-8,78,1
-5,46,1
-11,71,1
-10,66,1
-4,91,1
7,45,1
3,95,1
1,87,1
-3,22,1
5,94,1
-7,67,1
-9,56,1
3,53,1
-4,81,1
-3,100,1
4,27,1
-5,58,1
1,32,1
-3,50,1
4,38,1
0,47,1
-12,90,1
3,99,1
3,57,1
-11,88,1
-4,93,1
-1,34,1
5,75,1
3,97,1
-12,98,1
13,95,1
9,73,1
-3,70,1
3,65,1
0,69,1
1,65,1
-4,91,1
-8,44,1
6,72,1
-3,30,1
1,68,1
1,95,1
-7,69,1
-5,58,1
-4,73,1
7,76,1
9,68,1
-4,88,1
5,64,1
9,90,1
-9,74,1
-14,81,-1
-9,13,-1
18,2,-1
-14,8,-1
10,3,-1
-16,76,-1
-5,-9,-1
-18,39,-1
12,20,-1
10,21,-1
15,41,-1
-20,69,-1
-14,45,-1
15,63,-1
-9,5,-1
-15,27,-1
-16,80,-1
-18,97,-1
-9,21,-1
-17,76,-1
-20,3,-1
-17,11,-1
-13,69,-1
13,73,-1
11,37,-1
13,41,-1
10,13,-1
13,19,-1
-17,86,-1
-19,-6,-1
6,-1,-1
-6,-8,-1
-19,60,-1
14,26,-1
12,40,-1
-19,97,-1
13,29,-1
-15,23,-1
16,78,-1
-11,5,-1
-10,-1,-1
13,23,-1
-15,38,-1
-20,-5,-1
19,-1,-1
-11,25,-1
20,51,-1
-20,28,-1
18,64,-1
-14,71,-1
10,27,-1
7,-9,-1
17,35,-1
13,59,-1
16,-1,-1
-19,45,-1
18,90,-1
-16,27,-1
-16,-8,-1
-20,50,-1
19,28,-1
-15,30,-1
13,18,-1
-8,-7,-1
10,5,-1
-8,2,-1
6,-2,-1
-12,53,-1
-16,42,-1
-10,11,-1
-15,58,-1
15,70,-1
-14,29,-1
15,84,-1
15,23,-1
14,-5,-1
-19,35,-1
19,42,-1
14,73,-1
16,93,-1
-17,-9,-1
4,-8,-1
12,20,-1
-20,6,-1
15,28,-1
-17,76,-1
11,2,-1
8,6,-1
7,-7,-1
17,23,-1
19,-6,-1
-19,83,-1
-14,76,-1
-12,-9,-1
-8,1,-1
